Changed database context to 'adventureworks'.
SellStartYear ProductID   Name                                              
------------- ----------- --------------------------------------------------
         2002         680 HL Road Frame - Black, 58                         
         2002         706 HL Road Frame - Red, 58                           
         2005         707 Sport-100 Helmet, Red                             
         2005         708 Sport-100 Helmet, Black                           
         2005         709 Mountain Bike Socks, M                            
         2005         710 Mountain Bike Socks, L                            
         2005         711 Sport-100 Helmet, Blue                            
         2005         712 AWC Logo Cap                                      
         2005         713 Long-Sleeve Logo Jersey, S                        
         2005         714 Long-Sleeve Logo Jersey, M                        
         2005         715 Long-Sleeve Logo Jersey, L                        
         2005         716 Long-Sleeve Logo Jersey, XL                       
         2005         717 HL Road Frame - Red, 62                           
         2005         718 HL Road Frame - Red, 44                           
         2005         719 HL Road Frame - Red, 48                           
         2005         720 HL Road Frame - Red, 52                           
         2005         721 HL Road Frame - Red, 56                           
         2005         722 LL Road Frame - Black, 58                         
         2005         723 LL Road Frame - Black, 60                         
         2005         724 LL Road Frame - Black, 62                         
         2005         725 LL Road Frame - Red, 44                           
         2005         726 LL Road Frame - Red, 48                           
         2005         727 LL Road Frame - Red, 52                           
         2005         728 LL Road Frame - Red, 58                           
         2005         729 LL Road Frame - Red, 60                           
         2005         730 LL Road Frame - Red, 62                           
         2005         731 ML Road Frame - Red, 44                           
         2005         732 ML Road Frame - Red, 48                           
         2005         733 ML Road Frame - Red, 52                           
         2005         734 ML Road Frame - Red, 58                           
         2005         735 ML Road Frame - Red, 60                           
         2005         736 LL Road Frame - Black, 44                         
         2005         737 LL Road Frame - Black, 48                         
         2005         738 LL Road Frame - Black, 52                         
         2005         739 HL Mountain Frame - Silver, 42                    
         2005         740 HL Mountain Frame - Silver, 44                    
         2005         741 HL Mountain Frame - Silver, 48                    
         2005         742 HL Mountain Frame - Silver, 46                    
         2005         743 HL Mountain Frame - Black, 42                     
         2005         744 HL Mountain Frame - Black, 44                     
         2005         745 HL Mountain Frame - Black, 48                     
         2005         746 HL Mountain Frame - Black, 46                     
         2005         747 HL Mountain Frame - Black, 38                     
         2005         748 HL Mountain Frame - Silver, 38                    
         2005         749 Road-150 Red, 62                                  
         2005         750 Road-150 Red, 44                                  
         2005         751 Road-150 Red, 48                                  
         2005         752 Road-150 Red, 52                                  
         2005         753 Road-150 Red, 56                                  
         2005         754 Road-450 Red, 58                                  
         2005         755 Road-450 Red, 60                                  
         2005         756 Road-450 Red, 44                                  
         2005         757 Road-450 Red, 48                                  
         2005         758 Road-450 Red, 52                                  
         2005         759 Road-650 Red, 58                                  
         2005         760 Road-650 Red, 60                                  
         2005         761 Road-650 Red, 62                                  
         2005         762 Road-650 Red, 44                                  
         2005         763 Road-650 Red, 48                                  
         2005         764 Road-650 Red, 52                                  
         2005         765 Road-650 Black, 58                                
         2005         766 Road-650 Black, 60                                
         2005         767 Road-650 Black, 62                                
         2005         768 Road-650 Black, 44                                
         2005         769 Road-650 Black, 48                                
         2005         770 Road-650 Black, 52                                
         2005         771 Mountain-100 Silver, 38                           
         2005         772 Mountain-100 Silver, 42                           
         2005         773 Mountain-100 Silver, 44                           
         2005         774 Mountain-100 Silver, 48                           
         2005         775 Mountain-100 Black, 38                            
         2005         776 Mountain-100 Black, 42                            
         2005         777 Mountain-100 Black, 44                            
         2005         778 Mountain-100 Black, 48                            
         2006         779 Mountain-200 Silver, 38                           
         2006         780 Mountain-200 Silver, 42                           
         2006         781 Mountain-200 Silver, 46                           
         2006         782 Mountain-200 Black, 38                            
         2006         783 Mountain-200 Black, 42                            
         2006         784 Mountain-200 Black, 46                            
         2006         785 Mountain-300 Black, 38                            
